team,player_name,shirt_name,kaggle_player_id,kaggle_match_score,market_value_eur
Austria,FRIEDL Marco Marco FRIEDL FRIEDL,FRIEDL,156990.0,100.0,12000000.0
Austria,WANNER Paul Paul WANNER WANNER,WANNER,333451.0,100.0,125000.0
Austria,SVOBODA Michael Michael SVOBODA SVOBODA,SVOBODA,438961.0,100.0,900000.0
Austria,SCHOEPF Alessandro Alessandro Andre SCHÖPF SCHÖPF,SCHÖPF,118397.0,100.0,1800000.0
Belgium,COURTOIS Thibaut Thibaut Nicolas M COURTOIS COURTOIS,COURTOIS,108390.0,100.0,28000000.0
Belgium,DEBAST Zeno Zeno Koen DEBAST DEBAST,DEBAST,548193.0,100.0,30000000.0
Belgium,THEATE Arthur Arthur Nicolas R THEATE THEATE,THEATE,368891.0,100.0,24000000.0
Belgium,MECHELE Brandon Brandon Erik MECHELE MECHELE,MECHELE,236168.0,100.0,3000000.0
Belgium,DE CUYPER Maxim Maxim Peter M DE CUYPER DE CUYPER,CUYPER,429915.0,100.0,22000000.0
Belgium,WITSEL Axel Axel Laurent A WITSEL WITSEL,WITSEL,35047.0,100.0,1400000.0
Belgium,DE BRUYNE Kevin Kevin DE BRUYNE DE BRUYNE,BRUYNE,88755.0,100.0,15000000.0
Belgium,TIELEMANS Youri Youri Marion A TIELEMANS TIELEMANS,TIELEMANS,249565.0,100.0,35000000.0
Belgium,LUKAKU Romelu Romelu LUKAKU BOLINGOLI LUKAKU,LUKAKU,96341.0,100.0,15000000.0
Belgium,TROSSARD Leandro Leandro TROSSARD TROSSARD,TROSSARD,144028.0,100.0,20000000.0
Belgium,DOKU Jeremy Jeremy Baffour DOKU DOKU,DOKU,486049.0,100.0,65000000.0
Belgium,LAMMENS Senne Senne LAMMENS LAMMENS,LAMMENS,503883.0,100.0,25000000.0
Belgium,PENDERS Mike Mike Louis PENDERS PENDERS,PENDERS,834397.0,100.0,1000000.0
Belgium,LUKEBAKIO Dodi Dodi LUKEBAKIO NGANDOLI LUKEBAKIO,LUKEBAKIO,373174.0,100.0,
Belgium,MEUNIER Thomas Thomas Andre A MEUNIER MEUNIER,MEUNIER,100986.0,100.0,1800000.0
Belgium,DE WINTER Koni Koni DE WINTER DE WINTER,WINTER,42266.0,100.0,100000.0
Belgium,DE KETELAERE Charles Charles Marc S DE KETELAERE DE KETELAERE,KETELAERE,435772.0,100.0,34000000.0
Belgium,SEYS Joaquin Joaquin Ronny SEYS SEYS,SEYS,323788.0,100.0,175000.0
Belgium,MOREIRA Diego Diego Manuel J DA SILVA MOREIRA MOREIRA JR,JR,16519.0,100.0,200000.0
Belgium,VANAKEN Hans Hans VANAKEN VANAKEN,VANAKEN,137576.0,100.0,6000000.0
Belgium,CASTAGNE Timothy Timothy CASTAGNE CASTAGNE,CASTAGNE,262226.0,100.0,10000000.0
Belgium,SAELEMAEKERS Alexis Alexis Jesse M SAELEMAEKERS SAELEMAEKERS,SAELEMAEKERS,381950.0,100.0,12000000.0
Belgium,RASKIN Nicolas Nicolas Thierry Y RASKIN RASKIN,RASKIN,422763.0,100.0,6500000.0
Belgium,ONANA Amadou Amadou Ba Z MVOM ONANA ONANA,ONANA,234509.0,100.0,15000000.0
Belgium,NGOY Nathan Nathan NGOY NGOY,NGOY,286005.0,100.0,400000.0
Belgium,FERNANDEZ-PARDO Matias Matias FERNANDEZ-PARDO FERNANDEZ-PARDO,FERNANDEZ-PARDO,724129.0,100.0,3000000.0
Bosnia and Herzegovina,VASILJ Nikola Nikola VASILJ VASILJ,VASILJ,248454.0,100.0,4500000.0
Bosnia and Herzegovina,MUJAKIC Nihad Nihad MUJAKIĆ MUJAKIĆ,MUJAKIĆ,380919.0,100.0,2000000.0
Bosnia and Herzegovina,HADZIKADUNIC Dennis Dennis HADŽIKADUNIĆ HADŽIKADUNIĆ,HADŽIKADUNIĆ,322065.0,100.0,3000000.0
Bosnia and Herzegovina,MUHAREMOVIC Tarik Tarik MUHAREMOVIĆ MUHAREMOVIĆ,MUHAREMOVIĆ,679423.0,100.0,1200000.0
Bosnia and Herzegovina,KOLASINAC Sead Sead KOLAŠINAC KOLAŠINAC,KOLAŠINAC,94005.0,100.0,10000000.0
Bosnia and Herzegovina,TAHIROVIC Benjamin Benjamin TAHIROVIC TAHIROVIĆ,TAHIROVIĆ,787907.0,100.0,4500000.0
Bosnia and Herzegovina,DEDIC Amar Amar DEDIĆ DEDIĆ,DEDIĆ,519184.0,100.0,
Bosnia and Herzegovina,GIGOVIC Armin Armin GIGOVIĆ GIGOVIĆ,GIGOVIĆ,651269.0,100.0,2000000.0
Bosnia and Herzegovina,BAZDAR Samed Samed BAŽDAR BAŽDAR,BAŽDAR,710969.0,100.0,
Bosnia and Herzegovina,DEMIROVIC Ermedin Ermedin DEMIROVIĆ DEMIROVIĆ,DEMIROVIĆ,335457.0,100.0,22000000.0
Bosnia and Herzegovina,DZEKO Edin Edin DŽEKO DŽEKO,DŽEKO,28396.0,100.0,2700000.0
Bosnia and Herzegovina,JURKAS Mladen Mladen JURKAS JURKAS,JURKAS,,0.0,
Bosnia and Herzegovina,BASIC Ivan Ivan BAŠIĆ BAŠIĆ,BAŠIĆ,334835.0,100.0,2500000.0
Bosnia and Herzegovina,SUNJIC Ivan Ivan ŠUNJIĆ ŠUNJIĆ,ŠUNJIĆ,364257.0,100.0,1800000.0
Bosnia and Herzegovina,MEMIC Amar Amar MEMIĆ MEMIĆ,MEMIĆ,638990.0,100.0,
Bosnia and Herzegovina,HADZIAHMETOVIC Amir Amir HADŽIAHMETOVIĆ HADŽIAHMETOVIĆ,HADŽIAHMETOVIĆ,293213.0,100.0,4200000.0
Bosnia and Herzegovina,BURNIC Dzenis Dženis BURNIĆ BURNIĆ,BURNIĆ,251295.0,100.0,550000.0
Bosnia and Herzegovina,KATIC Nikola Nikola KATIĆ KATIĆ,KATIĆ,422051.0,100.0,1200000.0
Bosnia and Herzegovina,ALAJBEGOVIC Kerim Kerim ALAJBEGOVIĆ ALAJBEGOVIĆ,ALAJBEGOVIĆ,929994.0,100.0,8000000.0
Bosnia and Herzegovina,BAJRAKTAREVIC Esmir Esmir BAJRAKTAREVIĆ BAJRAKTAREVIĆ,BAJRAKTAREVIĆ,925862.0,100.0,5000000.0
Bosnia and Herzegovina,RADELJIC Stjepan Stjepan RADELJIĆ RADELJIĆ,RADELJIĆ,384568.0,100.0,
Bosnia and Herzegovina,ZLOMISLIC Martin Martin ZLOMISLIĆ ZLOMISLIĆ,ZLOMISLIĆ,495320.0,100.0,
Bosnia and Herzegovina,TABAKOVIC Haris Haris TABAKOVIĆ TABAKOVIĆ,TABAKOVIĆ,203123.0,100.0,3000000.0
Bosnia and Herzegovina,MALIC Arjan Arjan MALIĆ MALIĆ,MALIĆ,805534.0,100.0,
Bosnia and Herzegovina,LUKIC Jovo Jovo LUKIĆ LUKIĆ,LUKIĆ,245056.0,100.0,12000000.0
Bosnia and Herzegovina,MAHMIC Ermin Ermin MAHMIĆ MAHMIĆ,MAHMIĆ,803049.0,100.0,
Brazil,ALISSON Álisson Ramsés BECKER A. BECKER,BECKER,188888.0,100.0,10000000.0
Brazil,EDERSON SILVA Éderson José DOS SANTOS LOURENÇO DA SILVA ÉDERSON S.,S.,499581.0,100.0,100000.0
Brazil,GABRIEL MAGALHAES Gabriel DOS SANTOS MAGALHÃES GABRIEL,GABRIEL,6893.0,100.0,100000.0
Brazil,MARQUINHOS Marcos AOAS CORREA MARQUINHOS,MARQUINHOS,1284052.0,100.0,
Brazil,CASEMIRO Carlos Henrique CASIMIRO CASEMIRO,CASEMIRO,16306.0,100.0,8000000.0
Brazil,ALEX SANDRO Alex Sandro LOBO SILVA ALEX SANDRO,SANDRO,39743.0,100.0,1600000.0
Brazil,VINICIUS JUNIOR Vinicius José PAIXÃO DE OLIVEIRA JÚNIOR VINI JR.,JR.,16519.0,100.0,200000.0
Brazil,BRUNO GUIMARAES Bruno GUIMARÃES RODRIGUEZ MOURA BRUNO G.,G.,1232718.0,100.0,
Brazil,MATHEUS CUNHA Matheus SANTOS CARNEIRO DA CUNHA CUNHA,CUNHA,24843.0,100.0,300000.0
Brazil,NEYMAR JR Neymar DA SILVA SANTOS JÚNIOR NEYMAR JR,JR,16519.0,100.0,200000.0
Brazil,RAPHINHA Raphael DIAS BELLOLI RAPHINHA,RAPHINHA,411295.0,100.0,50000000.0
